,index,geneO,geneH,vGeneIden,utrIden
191,1407,IGHV1-25*01,IGHV4-61*09,0.5283505154639175,0.4017563782269664
192,1408,IGHV1-25*01,IGHV4-61*10,0.5297157622739018,0.407469654528478
193,1409,IGHV1-25*01,IGHV4-61*11,0.5244215938303342,0.407469654528478
194,1410,IGHV1-25*01,IGHV4-80*01,0.5122615803814714,0.3780250839074369
195,1412,IGHV1-25*01,IGHV4/OR15-8*01,0.5206185567010311,0.39792871410518466
196,1413,IGHV1-25*01,IGHV4/OR15-8*02,0.5167095115681234,0.4202767837678323
197,1415,IGHV1-25*01,IGHV5-10-1*01,0.5473684210526316,0.27838273845533373
198,1417,IGHV1-25*01,IGHV5-10-1*03,0.5433070866141733,0.27838273845533373
199,1419,IGHV1-25*01,IGHV5-51*01,0.5445026178010471,0.34822003506546184
200,1421,IGHV1-25*01,IGHV5-51*03,0.5473684210526316,0.3321845585413292
201,1425,IGHV1-25*01,IGHV5-51*07,0.5445026178010471,0.3330436854937762
202,1426,IGHV1-25*01,IGHV5-51*08,0.5445026178010471,0.33086307723331315
203,1429,IGHV1-25*01,IGHV6-1*01,0.5241730279898219,0.3824770617907872
204,1430,IGHV1-25*01,IGHV6-1*02,0.5241730279898219,0.34982255463942474
205,1431,IGHV1-25*01,IGHV6-1*03,0.5241730279898219,0.34794871794871796
206,1436,IGHV1-25*01,IGHV7-4-1*01,0.6032608695652174,0.34694596703066155
207,1437,IGHV1-25*01,IGHV7-4-1*02,0.6032608695652174,0.3475818020184685
208,1446,IGHV1-25*01,IGHV7-81*01,0.5860215053763441,0.37938983674277793
209,2913,IGHV1-28*01,IGHV1-17*01,0.6032608695652174,0.4212805796299712
210,2914,IGHV1-28*01,IGHV1-17*02,0.6092896174863388,0.401346464134243
211,2915,IGHV1-28*01,IGHV1-18*01,0.6480446927374302,0.4916360294117647
212,2917,IGHV1-28*01,IGHV1-18*03,0.6480446927374302,0.5416666666666666
