	Healthy_00330	Healthy_00334	Healthy_00335	Healthy_00339	Healthy_00347	Healthy_00686	Healthy_00687	Healthy_00688	Healthy_00689	Healthy_00690	Healthy_00692	Healthy_00693	Healthy_00694	Healthy_00696	Healthy_00697	Healthy_00698	Healthy_00699	Healthy_00701	Healthy_00702	Healthy_00703	Healthy_00704	Healthy_00705	Healthy_00706	Healthy_00708	Healthy_00709	Healthy_00770	Healthy_00771	Healthy_00772	Healthy_00773	Healthy_00774	Healthy_00775	Healthy_00776	Healthy_00777	Healthy_00778	Healthy_00779	Healthy_00780	Healthy_00781	Healthy_00782	Healthy_00783	Healthy_00784	Healthy_00785	Healthy_00786	Healthy_00787	Healthy_00788	Healthy_00789	Healthy_00790	Healthy_00791	Healthy_00792	Healthy_00793	Healthy_00856	Healthy_00857	Healthy_00858	Healthy_00859	Healthy_00860	Healthy_00862	Healthy_00863	Healthy_00864	Healthy_00865	Healthy_00866	Healthy_00867	Healthy_01005	Healthy_01009	Healthy_01020	Healthy_01021	Healthy_01024
IGLV2-34	0.000731256078566153	0.0008571036752605596	0.00075073008500767	0.0006736751336403047	0.001115424084236827	0.05592841163310962	0.0	0.0	0.0	0.0	0.0	0.0	0.03356267830172848	0.0	0.0	0.018165304268846504	0.0	0.0	0.0	0.029446407538280327	0.0	0.0	0.0	0.0	0.0	0.0	0.0364963503649635	0.0	0.02888086642599278	0.018866144703329875	0.0	0.0	0.03588087549336204	0.0	0.0	0.0	0.0	0.05841974587410544	0.13250883392226148	0.007194762213108857	0.0837871805613741	0.0	0.0	0.0	0.013071895424836603	0.0	0.032383419689119175	0.006356470887363335	0.0	0.05934718100890207	0.0	0.0	0.00856109410782698	0.004753416518122401	0.022925263640531865	0.0	0.0	0.04527447651386531	0.02603827626611118	0.02727024815925825	0.002007258245816874	0.0	0.0003307408760995067	0.0077215605273825835	0.01946413345850092
IGLV2-5	0.08701947334937221	0.11999451453647833	0.27777013145283785	0.13102981349303924	0.13524517021371527	0.22371364653243847	0.21834061135371177	0.4166666666666667	0.23805475259309639	0.5844155844155844	0.19270916974466035	0.06978367062107467	0.33562678301728477	0.2047432178809077	0.2819789797487824	0.19981834695731154	0.22467702677401233	0.31982942430703626	0.6127450980392157	0.47114252061248524	0.3115264797507788	0.6260671599317018	0.08347245409015025	0.398406374501992	0.7504690431519699	0.1397624039133473	0.3284671532846715	0.26764804282368687	0.30324909747292417	0.06603150646165457	0.5452893062708271	0.34301012298167827	0.07176175098672408	0.20822488287350338	0.5259006047856954	0.5153374233128835	0.3122865228847468	0.33591353877610636	0.2208480565371025	0.19425857975393912	0.1675743611227482	0.6544502617801047	0.5678745267712276	0.3972457627118644	0.130718954248366	0.28060329708874077	0.5505181347150259	0.5403000254258835	0.5672339005672339	0.2967359050445104	0.2542372881355932	0.09819048954972646	0.19262461742610706	0.12358882947118241	0.0687757909215956	0.11560693641618498	0.06965552178318135	0.04527447651386531	0.07811482879833355	0.109080992637033	0.23705719883097282	0.1680244399185336	0.3034547538212974	0.4613632415111094	0.14916760685895394
IGLV2-8	6.4983071421781196	4.491651810202963	6.272850346962421	6.72479360278093	5.088006960246286	4.809843400447427	2.5109170305676853	4.416666666666667	4.284985546675736	0.7467532467532467	3.0833467159145656	3.4193998604326583	6.9306930693069315	2.0133083091622592	4.9089976928992565	0.8174386920980926	3.6322785995132003	5.223880597014925	5.269607843137255	7.832744405182568	1.6095534787123573	1.3659647125782584	3.739565943238731	5.278884462151394	6.566604127579738	4.682040531097135	3.722627737226277	3.7638006022080965	0.8664259927797834	0.9433072351664937	1.0905786125416541	8.106751443152346	3.767491926803014	2.6548672566371683	3.8127793846962925	1.9141104294478528	4.7330926124719435	7.521542281291077	3.312720848056537	4.870854018274696	4.566401340594889	4.384816753926701	2.8393726338561387	4.078389830508475	3.7647058823529407	6.06804629954402	6.217616580310881	7.341723874904653	5.005005005005005	13.353115727002967	4.830508474576272	4.13802777388133	6.3009652633606565	5.967914438502674	9.445208619899129	0.6936416184971098	7.896403242147923	5.285795132993775	11.795339148548365	6.08126533951459	7.617143591225872	6.654786150712831	8.109600911521854	5.873211976140378	6.127068064179966
IGLV3-1	2.594862194791994	4.303089001645639	3.712860757086266	2.779415182616487	2.704624548253246	3.076062639821029	7.969432314410481	1.5833333333333335	5.985376636626424	6.85064935064935	3.3081740806166695	5.931612002791347	3.6751132740392682	4.367855314792698	6.395795949756472	4.159854677565849	2.602508893465643	4.584221748400854	6.985294117647059	3.032979976442874	6.697819314641744	10.64314171883893	3.8647746243739567	4.681274900398407	3.9399624765478425	4.751921733053808	7.153284671532846	6.540649046503848	11.364620938628159	2.263937364399585	6.452590124204787	8.94336149920522	9.436670254754215	6.298802706923477	6.100447015514067	9.423312883435583	6.7727139650629455	5.184752446326859	6.757950530035335	7.61205842146917	6.074570590699623	7.133507853403141	5.516495402920498	5.905720338983051	5.176470588235294	7.3482988425114	6.411917098445596	9.687261632341723	5.405405405405405	8.130563798219585	4.491525423728813	4.292327114602328	2.390685529610684	7.655377302436126	4.745529573590096	4.161849710982659	8.396656534954406	4.923599320882852	7.616195807837521	3.4360512680665396	4.364381603879629	3.0142566191446027	6.1964303137242585	3.4690489519360437	4.11761159580057
IGLV3-10	2.933433759168123	1.1253771256171146	0.7740027176429077	2.6813954506718223	1.3111810110203899	2.684563758389262	0.8733624454148471	3.4166666666666665	1.5643598027546335	3.831168831168831	0.6423638991488678	3.070481507327285	0.20137606981037087	1.2967070465790822	2.0763906690592155	1.6712079927338783	1.0297697060475568	1.1016346837242361	1.5931372549019607	2.1495877502944643	2.959501557632399	4.382470119521913	3.781302170283806	5.345285524568393	0.37523452157598497	2.3060796645702304	4.708029197080292	3.6968885915021747	4.909747292418772	1.2734647674747666	6.7252347773402	4.643185811093449	2.583423035522067	0.7287870900572618	2.208782540099921	2.5030674846625764	4.264662828144823	4.658974733459909	1.8109540636042403	2.6548672566371683	1.7595307917888565	1.5706806282722512	0.9464575446187128	1.8802966101694913	0.7058823529411765	6.997544721150474	2.5906735751295336	2.2056953979150773	1.9686353019686353	0.4747774480712166	0.8050847457627118	1.0660681722541732	2.1937803651306638	4.862745098039216	2.39569005043558	6.820809248554912	3.1914893617021276	1.1205432937181663	3.4500716052597316	3.3815107717480233	1.8942496065773837	2.713849287169043	1.7642545183337939	2.005399576968791	2.031504336367786
IGLV3-12	0.001462512157132306	0.014142210641799232	0.015014601700153398	0.027620680479252493	0.07835854191763708	0.0	0.0	0.0	0.11902737629654819	0.0	0.0	0.06978367062107467	0.0	0.017061934823408977	0.01281722635221738	0.0	0.07489234225800412	0.0	0.0	0.0	0.0	0.0	0.05843071786310517	0.0	0.0	0.06988120195667365	0.0364963503649635	0.06691201070592172	0.0	0.0	0.0	0.016732201121057475	0.0	0.052056220718375845	0.0	0.049079754601226995	0.019517907680296674	0.02920987293705272	0.0	0.014389524426217715	0.04189359028068705	0.0	0.027041644131963225	0.0	0.1176470588235294	0.017537706068046298	0.032383419689119175	0.044495296211543356	0.033366700033366704	0.0	0.1271186440677966	0.014027212792818067	0.014981914688697216	0.011883541295306001	0.0	0.0	0.037993920972644375	0.011318619128466328	0.0	0.0	0.17483219321064972	0.0	0.016950469900099716	0.0663226895298397	0.04599047463203314
IGLV3-13	0.0	0.0017142073505211192	0.0	0.0	0.001115424084236827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01444043321299639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011318619128466328	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IGLV3-16	0.15319814845960905	0.15299300603400987	0.2557487156259462	0.31511154376025247	0.2247579529737206	0.33557046979865773	0.5458515283842794	0.16666666666666669	0.2720625743921102	0.3246753246753247	0.4335956319254858	0.0	0.2181574089612351	0.3924245009384065	0.39733401691873876	0.36330608537693004	0.14978468451600824	0.39090262970859985	0.857843137254902	0.2061248527679623	0.46728971962616817	0.4553215708594195	0.2671118530884808	0.6308100929614874	0.0	0.5590496156533892	0.145985401459854	0.8531281365005019	0.5631768953068592	0.11319686821997925	0.030293850348379277	0.42667112858696565	1.2199497667743093	0.31233732431025507	0.6836707862214042	0.8098159509202454	1.4150483068215087	0.6572221410836864	0.3975265017667844	0.7914238434419743	0.9216589861751152	1.243455497382199	0.4326663061114116	0.715042372881356	0.32679738562091504	0.4209049456331112	0.16191709844559585	0.737350622934147	0.8341675008341675	0.17804154302670622	0.38135593220338987	0.1262449151353626	0.47514072298439736	0.13309566250742721	0.08023842274186153	0.3468208092485549	0.2026342451874367	0.07923033389926429	0.1952870719958339	0.49086446686664853	0.6381073963451842	0.05091649694501018	0.8302422842287867	0.7556098516081529	0.3654261870107053
IGLV3-17	0.0	0.0	0.00025024336166922336	0.0005052563502302284	0.00027885602105920675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03553660270078181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00041342609512438335	0.0	0.0
IGLV3-19	2.8263047436581816	2.0651913055403184	2.252440498384679	4.287605388053719	3.2004305536965156	1.9574944071588367	2.7292576419213974	2.166666666666667	3.5368134670974327	4.740259740259741	1.9752689898827687	1.3258897418004187	2.584326229233093	3.173519877154069	2.1661112535247375	9.464123524069027	3.7071709417712038	2.0966595593461266	4.411764705882353	1.9434628975265018	4.361370716510903	3.016505406943654	5.651085141903172	2.49003984063745	3.564727954971857	0.4891684136967156	2.2992700729927007	2.32519237203078	3.075812274368231	0.4056221111215923	0.7270524083611027	1.2130845812766669	3.0857552924291354	1.5096304008328996	2.445437812253484	4.07361963190184	2.459256367717381	0.9639258069227399	4.726148409893993	1.8274696021296495	2.8068705488060326	3.0759162303664924	1.8388318009734992	3.283898305084746	1.0326797385620916	2.069449316029463	1.6839378238341969	2.3836765827612507	2.2022022022022023	1.0089020771513353	1.3135593220338981	2.4407350259503438	1.45324572480363	0.47296494355317886	0.8253094910591471	1.7630057803468209	1.1778115501519757	0.9620826259196379	1.2368181226402812	0.8999181892555222	2.3591306163085717	2.0824847250509166	2.940699814619739	4.168125949683002	2.278853855362541
IGLV3-21	4.682598299098361	3.44727098189797	7.530323239350269	2.445609153897716	4.795765850176236	5.257270693512305	2.5109170305676853	4.916666666666666	5.373235844244176	6.103896103896104	4.528665488999518	7.606420097697139	3.993958717905689	4.760279815731104	5.434503973340169	7.465940054495913	6.796480059913875	2.380952380952381	6.495098039215687	4.593639575971731	3.063343717549325	5.122367672168469	5.242070116861436	4.083665338645418	2.0637898686679175	4.682040531097135	4.708029197080292	4.031448645031784	7.523465703971119	3.3864729742477127	8.239927294759164	3.2376809169246212	4.05453893074991	8.901613742842269	4.6279253221141206	5.840490797546012	7.3289743339514	6.58682634730539	4.946996466431095	5.108281171307288	4.398826979472141	3.599476439790576	4.570037858301785	5.164194915254237	9.686274509803921	6.769554542265871	5.796632124352332	5.879735570811086	2.0687354020687354	10.623145400593472	4.830508474576272	5.428531350820592	3.3645099843760033	2.421865715983363	1.0889500229252635	6.184971098265896	3.0775075987841944	4.221844934917939	1.6013539903658378	1.3362421598036542	3.2100073867103442	2.8665987780040734	2.3549577230475127	4.415353771568663	2.6547872294614634
IGLV3-22	0.04277848059611995	0.006856829402084477	0.013012654806799612	0.2932171019169426	0.004461696336947308	0.0	0.0	0.0	0.0	0.0	0.016059097478721696	0.0	0.0	0.034123869646817954	0.07690335811330429	0.03633060853769301	0.03744617112900206	0.7818052594171997	0.0	0.08833922261484099	0.0	0.0	0.09181969949916528	0.0	0.0	0.0	0.0364963503649635	0.26764804282368687	0.01444043321299639	0.009433072351664937	0.0	0.008366100560528738	0.03588087549336204	0.052056220718375845	0.026295030239284777	0.1226993865030675	0.009758953840148337	0.04381480940557909	0.0	0.04316857327865314	0.04189359028068705	0.06544502617801047	0.1081665765278529	0.0	0.026143790849673207	0.0	0.06476683937823835	0.01271294177472667	0.0	0.0	0.0	0.0	0.012841641161740469	0.0404040404040404	0.04585052728106373	0.0	0.006332320162107397	0.022637238256932656	0.02603827626611118	0.0	0.02308346982689405	0.1985743380855397	0.09905689239180226	0.10699876730801582	0.0
IGLV3-24	0.029250243142646123	0.0004285518376302798	0.006506327403399806	0.034862688165885766	0.009759960737072235	0.0	0.0	0.0	0.0	0.12987012987012986	0.03211819495744339	0.0	0.0	0.0	0.02563445270443476	0.0	0.0	0.0	0.0	0.0	0.20768431983385255	0.0	0.01669449081803005	0.0	0.0	0.0	0.0364963503649635	0.13382402141184344	0.01444043321299639	0.0	0.0	0.02509830168158621	0.0	0.052056220718375845	0.15777018143570865	0.0736196319018405	0.1366253537620767	0.0730246823426318	0.0	0.014389524426217715	0.0	0.06544502617801047	0.1352082206598161	0.05296610169491525	0.013071895424836603	0.0876885303402315	0.06476683937823835	0.08899059242308671	0.06673340006673341	0.05934718100890207	0.0	0.028054425585636134	0.01712218821565396	0.0	0.011462631820265932	0.0	0.0	0.03395585738539898	0.02603827626611118	0.0	0.025692905546455983	0.0	0.02960130841090585	0.04743244323963587	0.006114838387405156
IGLV3-25	7.482577823928162	4.408084201865058	4.615238319265486	4.280531799150496	5.7132021594610265	18.624161073825505	7.751091703056769	9.166666666666666	8.859037578643088	8.636363636363637	5.090733900754778	12.212142358688068	2.9031716730995134	5.766933970312233	5.178159446295822	2.633969118982743	4.17524808088373	3.660270078180526	5.88235294117647	4.858657243816254	8.566978193146417	3.3579965850882187	4.6661101836393994	15.0730411686587	6.941838649155723	6.289308176100629	6.4963503649635035	4.8009367681498825	13.140794223826715	1.52815772096972	5.755831566192063	3.6810842466326448	5.238607822030858	9.422175950026029	4.049434656849855	9.104294478527606	3.7669561822972577	6.367752300277493	6.007067137809187	5.928484063601698	9.928780896522833	3.7303664921465964	3.0557057869118442	5.164194915254237	3.7777777777777777	11.189056471413538	3.659326424870466	6.820493262140859	8.274941608274942	3.0267062314540056	3.855932203389831	8.767007995511293	4.263424865697836	7.586452762923352	4.264099037138927	6.387283236994219	7.073201621073961	6.044142614601019	3.593282124723343	6.981183528770112	4.699794456755629	2.204684317718941	3.551164786680403	4.419076666822936	4.985229650937465
IGLV3-26	0.0	0.0	0.0	0.00016841878341007616	0.0	0.0	0.10917030567685589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01281722635221738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00381379066705206	0.0	0.0	0.0	0.0
